29685.75      5.04  29680.70 
50412.82      4.04  50408.78 
 3769.19     13.55   3755.64 
   75.22     -0.09     75.31 
 4964.68     14.69   4950.00 
29610.05      9.60  29600.45 
  681.56      6.83    674.73 
36234.73     11.12  36223.61 
21431.09     13.84  21417.25 
54728.10      2.10  54726.00 
 1890.96      9.22   1881.74 
57913.18     16.14  57897.04 
74136.90     13.95  74122.95 
16562.60     13.91  16548.69 
 4448.17      3.66   4444.50 
  550.76     16.52    534.24 
28093.86      2.52  28091.34 
 4481.96     10.00   4471.96 
70233.15      3.12  70230.03 
20094.02     19.84  20074.18 
 3337.10     21.38   3315.72 
27147.41      8.73  27138.68 
   87.52     16.45     71.07 
58718.99     20.20  58698.78 
40222.18     20.74  40201.44 
21588.68      3.33  21585.35 
26988.79      6.29  26982.49 
48447.06      0.96  48446.10 
46164.09      2.05  46162.03 
60057.74     14.40  60043.35 
  753.35     13.15    740.21 
34494.00     15.98  34478.01 
68293.84     21.27  68272.57 
60570.18     12.68  60557.50 
27810.36      1.50  27808.86 
18783.18     10.29  18772.89 
14803.84      4.40  14799.44 
66066.50     20.80  66045.70 
21142.31      6.03  21136.28 
23772.58      8.79  23763.78 
15000.74      0.31  15000.42 
55145.37     16.07  55129.30 
72607.74      7.05  72600.69 
39346.37      0.22  39346.15 
57948.30     12.86  57935.44 
65085.11     16.85  65068.25 
  384.20      0.76    383.44 
52325.77     21.74  52304.03 
67322.95      6.56  67316.39 
  251.74     20.29    231.44 
  241.20      3.59    237.61 
23348.87     12.92  23335.95 
 7393.73     18.08   7375.65 
11453.62     11.12  11442.50 
35204.86      1.38  35203.48 
 7591.00     19.71   7571.29 
18976.19     15.27  18960.92 
65744.51      7.81  65736.69 
 1250.67      1.09   1249.58 
34526.88      4.22  34522.66 
12580.78      7.34  12573.44 
39305.42      6.52  39298.90 
12456.17     10.04  12446.13 
  571.25     18.93    552.32 
 1917.03     14.38   1902.66 
11694.15      1.45  11692.70 
14758.45     10.25  14748.21 
13507.92      5.65  13502.27 
 3682.44      2.83   3679.61 
  384.46     12.08    372.39 
39719.92      4.42  39715.50 
 1172.36      9.67   1162.69 
  142.73      4.62    138.11 
 1051.58     19.75   1031.83 
70180.38      1.05  70179.33 
57652.53      5.89  57646.64 
  651.49      3.10    648.39 
57809.74      2.86  57806.88 
   47.32     14.08     33.24 
 6168.48     14.53   6153.94 
 7883.66     20.85   7862.82 
  372.00     11.07    360.93 
48056.55      3.08  48053.47 
14500.36     -0.04  14500.40 
 7547.32     15.71   7531.61 
28850.80     17.52  28833.28 
46946.52     11.47  46935.05 
44917.34     14.82  44902.52 
45908.43     20.58  45887.85 
 4289.52     13.64   4275.88 
 1466.08      5.98   1460.10 
36430.85      7.41  36423.44 
51447.46      7.88  51439.58 
60865.75      1.79  60863.96 
40927.70     14.33  40913.37 
 2575.06     12.23   2562.83 
12589.34      2.83  12586.51 
 7340.67      0.67   7340.00 
 1297.34      3.42   1293.93 
 3472.18      9.04   3463.14 
  824.51     13.06    811.45 
 1754.37      0.36   1754.02 
36080.94     -0.76  36081.70 
 3368.74      7.79   3360.95 
  361.58     10.65    350.93 
  377.79     19.75    358.03 
57247.03     12.72  57234.31 
 6977.15      0.16   6976.99 
  514.22      1.99    512.23 
 4391.18     16.18   4375.00 
 4177.43      1.90   4175.54 
 1158.12     15.49   1142.63 
 1190.49     11.27   1179.22 
 5792.91     21.47   5771.44 
 2819.72     11.45   2808.27 
 2194.86      9.55   2185.31 
27341.65     -0.36  27342.00 
55450.47      8.26  55442.21 
26674.60     19.46  26655.13 
74908.72      2.21  74906.51 
 1021.93     19.24   1002.69 
 3135.24     15.60   3119.64 
63990.56     14.75  63975.81 
 7218.36     15.36   7203.01 
71009.01     15.36  70993.65 
   22.25     18.68      3.56 
35432.22     15.00  35417.22 
50420.69      4.35  50416.34 
 1544.33      7.59   1536.74 
66158.65     11.56  66147.09 
 4243.55     14.84   4228.71 
  566.79     15.69    551.10 
18436.15      2.21  18433.94 
49540.60     -0.96  49541.56 
60320.87     -0.38  60321.25 
 3214.66     11.70   3202.97 
 2159.89      1.29   2158.60 
14510.60      3.24  14507.37 
10978.25      1.72  10976.54 
 3258.48      0.98   3257.49 
  321.47     15.54    305.93 
 1196.10      7.54   1188.56 
 2326.70      0.94   2325.76 
57731.87     17.92  57713.94 
 2260.98      1.47   2259.51 
 1221.16      0.94   1220.22 
   28.19     -0.54     28.72 
  228.94      3.06    225.88 
  213.91      8.28    205.63 
27358.59      8.55  27350.04 
 2544.95     15.33   2529.62 
76288.03     17.19  76270.84 
 1362.25     19.22   1343.03 
   20.85     17.19      3.66 
 3411.29     20.71   3390.58 
  439.01     15.65    423.36 
  260.91     14.00    246.92 
60049.21     15.31  60033.89 
  174.95     19.87    155.08 
  641.58      8.01    633.57 
18996.19     -0.58  18996.77 
  340.32      7.43    332.88 
 6358.56     11.79   6346.78 
22702.16     21.32  22680.84 
 3996.79      4.44   3992.35 
  814.77     11.09    803.68 
45478.96      6.94  45472.02 
66168.43     13.53  66154.90 
 3258.45      5.83   3252.63 
 7159.19      2.57   7156.62 
  960.83     14.58    946.25 
64974.60     17.92  64956.67 
 2989.32      6.07   2983.25 
35831.93      3.84  35828.10 
 1385.35      1.58   1383.76 
 2469.43     -0.80   2470.23 
 3561.74      8.28   3553.45 
 4268.45      6.72   4261.73 
73185.39      5.62  73179.77 
